model,model_display,total_params_B,active_params_B,architecture,group,domain,trial,drci_cold,drci_scrambled,drci_mean,mean_true,mean_cold,mean_scrambled
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,34,0.43827021519343057,0.35985447466373444,0.3990623449285825,1.0,0.5617297848065694,0.6401455253362656
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,35,0.4419314950704575,0.4181767831246058,0.43005413909753165,1.0,0.5580685049295425,0.5818232168753942
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,36,0.416363920768102,0.37614910701910653,0.3962565138936043,1.0,0.583636079231898,0.6238508929808935
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,37,0.44478101631005607,0.34568155805269873,0.3952312871813774,1.0,0.5552189836899439,0.6543184419473013
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,38,0.4299834261337916,0.4346408506234487,0.43231213837862015,1.0,0.5700165738662084,0.5653591493765513
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,39,0.495643961429596,0.37379656831423447,0.43472026487191523,1.0,0.504356038570404,0.6262034316857655
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,40,0.4045967598756154,0.40293037196000414,0.40376356591780976,1.0,0.5954032401243846,0.5970696280399959
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,41,0.4458754867315292,0.4546121443311374,0.4502438155313333,1.0,0.5541245132684708,0.5453878556688626
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,42,0.430095836520195,0.40721977353096006,0.41865780502557753,1.0,0.569904163479805,0.5927802264690399
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,43,0.4223397672176361,0.41564146379629774,0.4189906155069669,1.0,0.5776602327823639,0.5843585362037023
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,44,0.437924470504125,0.3764329483111699,0.40717870940764744,1.0,0.562075529495875,0.6235670516888301
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,45,0.411513998111089,0.3774562537670135,0.3944851259390513,1.0,0.588486001888911,0.6225437462329865
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,46,0.44015925029913583,0.35914291242758434,0.3996510813633601,1.0,0.5598407497008642,0.6408570875724157
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,47,0.4054508457581202,0.4442230194807053,0.42483693261941274,1.0,0.5945491542418798,0.5557769805192947
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,48,0.41967924137910206,0.44836432139078775,0.4340217813849449,1.0,0.5803207586208979,0.5516356786092123
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,49,0.454757708311081,0.4169031620025635,0.43583043515682224,1.0,0.545242291688919,0.5830968379974365
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,0,0.3029054254293442,0.2447055220603943,0.27380547374486924,1.0,0.6970945745706558,0.7552944779396057
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,1,0.31350668271382653,0.24552293022473648,0.2795148064692815,1.0,0.6864933172861735,0.7544770697752635
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,2,0.2897870024045308,0.24100184241930644,0.26539442241191863,1.0,0.7102129975954692,0.7589981575806936
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,3,0.3168721934159596,0.25736692746480305,0.28711956044038134,1.0,0.6831278065840404,0.742633072535197
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,4,0.29698142707347874,0.22386552095413204,0.2604234740138054,1.0,0.7030185729265213,0.776134479045868
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,5,0.3229240814844767,0.22969283064206436,0.27630845606327054,1.0,0.6770759185155233,0.7703071693579356
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,6,0.29264211853345234,0.23705340822537735,0.26484776337941485,1.0,0.7073578814665477,0.7629465917746227
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,7,0.28846668601036074,0.2487900912761688,0.26862838864326477,1.0,0.7115333139896393,0.7512099087238312
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,8,0.31600969930489853,0.22983161211013792,0.2729206557075182,1.0,0.6839903006951015,0.7701683878898621
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,9,0.3017624159653981,0.23486135204633074,0.2683118840058644,1.0,0.6982375840346019,0.7651386479536693
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,10,0.28553876678148904,0.22664809028307598,0.2560934285322825,1.0,0.714461233218511,0.773351909716924
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,11,0.30624744296073914,0.26351874669392905,0.2848830948273341,1.0,0.6937525570392609,0.736481253306071
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,12,0.29579998751481373,0.24715929428736372,0.2714796409010887,1.0,0.7042000124851863,0.7528407057126363
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,13,0.31107869148254397,0.23752111991246538,0.2742999056975047,1.0,0.688921308517456,0.7624788800875346
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,14,0.317292579015096,0.22116628487904866,0.26922943194707233,1.0,0.682707420984904,0.7788337151209513
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,15,0.30137518246968586,0.24114439487457273,0.2712597886721293,1.0,0.6986248175303141,0.7588556051254273
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,16,0.303262343009313,0.25632823506991065,0.2797952890396118,1.0,0.696737656990687,0.7436717649300894
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,17,0.2798884014288584,0.21400842865308123,0.24694841504096982,1.0,0.7201115985711416,0.7859915713469188
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,18,0.2949554413557053,0.23042844533920293,0.2626919433474541,1.0,0.7050445586442947,0.7695715546607971
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,19,0.2876088301340739,0.23728752930959063,0.26244817972183226,1.0,0.7123911698659261,0.7627124706904094
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,20,0.3215098838011424,0.24438697497049966,0.28294842938582104,1.0,0.6784901161988576,0.7556130250295003
