model,domain,task_type,trial_number,delta_rci,source_folder
llama_4_scout,medical,Type2_Closed,33,0.33684372881737845,open_medical_rerun
llama_4_scout,medical,Type2_Closed,34,0.3151157480974992,open_medical_rerun
llama_4_scout,medical,Type2_Closed,35,0.3177556226650874,open_medical_rerun
llama_4_scout,medical,Type2_Closed,36,0.32412996372828884,open_medical_rerun
llama_4_scout,medical,Type2_Closed,37,0.3140766995027662,open_medical_rerun
llama_4_scout,medical,Type2_Closed,38,0.30386890632410846,open_medical_rerun
llama_4_scout,medical,Type2_Closed,39,0.3499232432494561,open_medical_rerun
llama_4_scout,medical,Type2_Closed,40,0.3376312812169393,open_medical_rerun
llama_4_scout,medical,Type2_Closed,41,0.3292001033977916,open_medical_rerun
llama_4_scout,medical,Type2_Closed,42,0.3323041717211406,open_medical_rerun
llama_4_scout,medical,Type2_Closed,43,0.32620436387757457,open_medical_rerun
llama_4_scout,medical,Type2_Closed,44,0.33798458985984325,open_medical_rerun
llama_4_scout,medical,Type2_Closed,45,0.33816814025243125,open_medical_rerun
llama_4_scout,medical,Type2_Closed,46,0.3171768699462215,open_medical_rerun
llama_4_scout,medical,Type2_Closed,47,0.328774805724,open_medical_rerun
llama_4_scout,medical,Type2_Closed,48,0.32473068820933504,open_medical_rerun
llama_4_scout,medical,Type2_Closed,49,0.3254505856583516,open_medical_rerun
llama_4_scout,medical,Type2_Closed,50,0.32018466889858244,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,1,0.3473056284710765,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,2,0.3923917406704277,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,3,0.3483306502302488,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,4,0.3906618167335788,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,5,0.36357952098672586,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,6,0.3777945923308531,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,7,0.35799214865158624,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,8,0.37587000826994577,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,9,0.36146496012806895,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,10,0.34946200077732403,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,11,0.36724907206371427,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,12,0.36960138132174813,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,13,0.36289756596088407,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,14,0.3656795140355825,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,15,0.37548527022202804,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,16,0.3418150364110867,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,17,0.3714224743346374,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,18,0.384596875247856,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,19,0.38574714114268616,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,20,0.3361039065135022,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,21,0.35672773569822314,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,22,0.3808090008795262,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,23,0.37694627741196507,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,24,0.3446847547466556,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,25,0.3494625485502183,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,26,0.36348811077574894,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,27,0.3705006122589112,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,28,0.38388550132513044,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,29,0.36335952269534266,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,30,0.3755615599453449,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,31,0.36527353326479595,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,32,0.336889490361015,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,33,0.3615380515034,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,34,0.3361725006097307,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,35,0.3918203871697188,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,36,0.3732407100498676,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,37,0.3756365244587262,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,38,0.3563356650993228,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,39,0.3712537365655104,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,40,0.3522791267993549,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,41,0.3741305761970579,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,42,0.363700018900757,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,43,0.3538656787325939,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,44,0.3690788538505634,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,45,0.37283922980229056,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,46,0.34352727904915814,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,47,0.3730537432556351,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,48,0.3680821378404896,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,49,0.32927220314741135,open_medical_rerun
mistral_small_24b,medical,Type2_Closed,50,0.3701640162616968,open_medical_rerun
qwen3_235b,medical,Type2_Closed,1,0.32917403628428776,open_medical_rerun
qwen3_235b,medical,Type2_Closed,2,0.31968181530634565,open_medical_rerun
qwen3_235b,medical,Type2_Closed,3,0.32055164054036145,open_medical_rerun
qwen3_235b,medical,Type2_Closed,4,0.3207301661372185,open_medical_rerun
qwen3_235b,medical,Type2_Closed,5,0.33922997030119106,open_medical_rerun
qwen3_235b,medical,Type2_Closed,6,0.3352039843797684,open_medical_rerun
qwen3_235b,medical,Type2_Closed,7,0.3196027080217997,open_medical_rerun
